English	Fira	Logic	Formula	Matches?	Notes
_Feminine	a	-	a	=IF(D2=B2, "Y", "N")	Constructor Word
_Instance	v	-	v	=IF(D3=B3, "Y", "N")	Constructor Word
_Masculine	ī	-	ī	=IF(D4=B4, "Y", "N")	Constructor Word
_Neutral	ū	-	ū	=IF(D5=B5, "Y", "N")	Constructor Word
_Object	p	-	p	=IF(D6=B6, "Y", "N")	Constructor Word
_Opposite Quality	ƶyṉe	-	=lower(createWord("Of + Not", 0))	=IF(D7=B7, "Y", "N")	Constructor Word
_Passive Valency	eo	-	eo	=IF(D8=B8, "Y", "N")	Constructor Word
_Past Tense	łem	-	łem	=IF(D9=B9, "Y", "N")	Constructor Word
_Place	iamī	-	=addGender("iam", "m")	=IF(D10=B10, "Y", "N")	Constructor Word
_Plural	o	-	o	=IF(D11=B11, "Y", "N")	Constructor Word
_Subject	ş	-	ş	=IF(D12=B12, "Y", "N")	Constructor Word
_Verb	e	-	e	=IF(D13=B13, "Y", "N")	Constructor Word
Above	Nabū	-	=addGender("Nab", "n")	=IF(D14=B14, "Y", "N")	-
Acid	Çepłynī	Flame + Liquid	=createWord($C15)	=IF(D15=B15, "Y", "N")	A liquid that burns
Air	Ƶyami	Of + Sky	=createWord($C16, 0, 4)	=IF(D16=B16, "Y", "N")	-
And	Veƶ	-	Veƶ	=IF(D17=B17, "Y", "N")	-
Anger	Çesaşƶy	Fire + Emotion	=createWord($C18)	=IF(D18=B18, "Y", "N")	-
Animal	Deṉī	-	=addGender("Deṉ", "m")	=IF(D19=B19, "Y", "N")	-
Apart	Pemera	-	=addGender("Pemer", "f")	=IF(D20=B20, "Y", "N")	-
Apartment	Skobamī	Small + House	=createWord($C21, 1, 4)	=IF(D21=B21, "Y", "N")	-
Armour	Kryałurī	Protection + Cloth	=createWord($C22, 3, 1)	=IF(D22=B22, "Y", "N")	-
At	Yopam	Owning + _Place	=sliceWord(createWord(C23, 3, 1), 0, -1)	=IF(D23=B23, "Y", "N")	-
Autumn	Retsa	-	=addGender("Rets", "f")	=IF(D24=B24, "Y", "N")	Season
Beginning	Poṉū	-	=addGender("Poṉ", "n")	=IF(D25=B25, "Y", "N")	-
Bell	Buomī	-	=addGender("Buom", "m")	=IF(D26=B26, "Y", "N")	Onomatopoeia of the sound a large bell makes
Below	Ṉebū	Not + Above	=createWord($C27, 0, 2)	=IF(D27=B27, "Y", "N")	-
Big	Dētema	-	=addGender("Dētem", "f")	=IF(D28=B28, "Y", "N")	-
Bird	Denabū	Creature + High	=createWord($C29, 2, 0)	=IF(D29=B29, "Y", "N")	-
Black	Ciłeṉū	All + Dark	=createWord($C30)	=IF(D30=B30, "Y", "N")	-
Body	Saşami	Person + _Place	=createWord($C31, 3, 1)	=IF(D31=B31, "Y", "N")	-
